1.1 Edad:,1.2 Género:,3. Evaluación de Habilidades Blandas,"A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Gestión: Gestionar actividades complejas, como proyectos de ingeniería, en el campo de estudio.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Comunicación efectiva: Presentar y defender proyectos técnicos en español e inglés en entornos profesionales.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Liderazgo: Dirigir equipos, organizando tareas y tomando decisiones clave.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Trabajo en equipo: Participar activamente en equipos para resolver problemas de ingeniería.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Ética profesional: Actuar con responsabilidad ética en la toma de decisiones técnicas, respetando normas y compromisos legales.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Responsabilidad social: Considerar aspectos jurídicos, culturales y de sostenibilidad al desarrollar soluciones de ingeniería.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Aprendizaje autónomo: Buscar activamente aprendizaje continuo y desarrollar habilidades profesionales de manera autónoma.]",4. Inserción Laboral,4.1 ¿Actualmente estás trabajando?,4.1.2 País:,4.1.3 ¿A qué tipo pertenece la institución en la que laboras?,4.1.4 Modalidad de trabajo:,4.1.5 ¿Cuánto tiempo lleva trabajando en su empleo actual?,"4.1.6 En una escala del 1 al 4 donde 1 es totalmente sin relación, y 4 es totalmente con relación ¿Cómo calificas la correspondencia entre tu formación académica y tu trabajo actual?",4.1.7 ¿Consideras que la formación académica ha contribuido a un mejor desempeño en tu vida profesional / laboral?,"4.1.8 ¿Consideras que la formación en habilidades blandas (gestión, comunicación efectiva, liderazgo, trabajo en equipo, ética profesional, responsabilidad social, aprendizaje autónomo) recibida en la EPN fue suficiente para enfrentar los desafíos del entorno laboral?",4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Gestión],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Comunicación efectiva],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Liderazgo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Trabajo en equipo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Ética profesional],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Responsabilidad social],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Aprendizaje autónomo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Todas las anteriores],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Otro],4.1.10 ¿Consideras que las prácticas preprofesionales y pasantías han contribuido a un mejor desempeño en tu vida profesional / laboral?,4.1.11 Rango salarial mensual (USD):,4.1.12 ¿Estas actualmente buscando trabajo?,4.1.13 ¿Por cuanto tiempo has estado buscando trabajo?,4.1.14 ¿Ha identificado alguna brecha o déficit en su formación académica que considere ha dificultado su inserción laboral?,"Si respondió ""Sí"", por favor especifique:",4.2 ¿Conoces o has utilizado la Bolsa de Empleo de la EPN?,"6.1 ¿Qué asignaturas te resultaron más relevantes durante la carrera? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Estática, Mecánica de materiales, Dinámica","6.2 ¿Qué temas/áreas/contenido consideras que debieron incluirse en tu proceso de formación? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Importancia de las buenas prácticas de TICS, TICS, Cobit",6.3 ¿Qué recomendaciones darías para mejorar la formación en tu carrera?,6.4 ¿Qué habilidades blandas crees que debieron ser fortalecidas mejor durante tu formación?,"6.5 Si pudieras agregar una habilidad blanda a tu formación académica, ¿cuál sería y cómo la aplicarías en tu carrera profesional?",carrera,anioGraduacion
29,Femenino,,4,3,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),3,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,3.0,Si,Parcialmente,Sí,No,No,No,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","Ofimática, Programación, Telemática, Inglés, Sistemas Embebidos, Fundamentos de Seguridad Telefonía IP, Diseño de Proyectos, Introducción al Diseño de Redes, Prácticas Laborales","El conocimiento y la aplicación de metodologías de trabajo como ITIL, Scrum e ISO son fundamentales en la carrera de Ingeniería en Telecomunicaciones, ya que permiten estructurar y optimizar los procesos técnicos y de gestión.",Insertar materias o actividades que ayuden a los estudiantes a adquirir habilidades blandas.,"Comunicación efectiva, creatividad, inteligencia emocional y empatía","Aplicar la comunicación efectiva en la Ingeniería en Telecomunicaciones es fundamental, ya que esta disciplina no solo involucra el dominio técnico, sino también la colaboración con equipos multidisciplinarios, clientes, proveedores y usuarios.",(RRA20) TELECOMUNICACIONES,2025
24,Masculino,,4,4,4,4,4,4,4,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,No,No,No,No,No,No,No,Sí,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Telematica, Microondas,Telefonía IP",Ciberseguridad,Mejoras estructurales y espacios para prácticas preprofesionales apartar de 6to semestrd,Comunicación efectiva y realciones interpersonales,"Comunicación efectiva, importante en trabajo en equipo, presentación de propuestas en oportunidades de mejora en el campo laboral",(RRA20) TELECOMUNICACIONES,2025
28,Masculino,,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,Actividades y talleres mas relacionados con actividades laborales riesgos,"a) Sí, la he utilizado para postularme a vacantes","Econometria, finanzas, macroecomia","Riesgos financieros, riesgos operativos, riesgos de mercado y liquidez, matrices de calor, diagramas de flojo",Realizar talleres y actividades de vinculación laboral,"Trabajo en equipo, liderazgo, discurso, toma fe decisiones",Capacidad de análisis y toma de decisionesas mas  verbo,(RRA20) ECONOMÍA,2025
24,Femenino,,3,4,4,4,5 (Totalmente desarrollado),4,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,"No tener cursos ni certificados que evidencien el aprendizaje, la poca experiencia en pasantías ya que antes no se observada tantas pasantías como hay hoy","a) Sí, la he utilizado para postularme a vacantes","Gestión de residuos, diseño de plantas, contaminación del suelo, ecología, calidad del agua","Buenas prácticas de gestión, qué plataformas dedresponsabilidad social existen, qué plataformas de gestión ambiental existen",Establecer alianza de estratégicas con empresas para la realización de pasan días y con esto poder conocer la realidad profesional,"habilidad de comunicación, liderazgo en proyectos","Habilidad para comunicarme ya que en el mundo laboral es indispensable tener contactos, y considero que el ser social es muy importante",(RRA20) INGENIERÍA AMBIENTAL,2025
22,Femenino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,Si,Parcialmente,Sí,No,No,Sí,No,No,No,Sí,responsabilidad,Si,De $461 a $1000,,,,,c) No la conozco,programación,buenas practicas de programacion,Mas practicas realistas a la vida laboral,trabajo en grupo,autoaprendizaje,(RRA20) DESARROLLO DE SOFTWARE,2025
25,Masculino,,3,3,3,4,4,3,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Balance de Energía, Fenómenos de Transporte (Calor, Masa y Fluidos), Modelado y Control Automático",Profundizar temas de Transferencia de Masa,Habilidades blandas,Expresión Corporal y Liderazgo,"Liderazgo, para crear un equipo de trabajo eficaz y eficiente",(RRA20) INGENIERÍA QUÍMICA,2025
26,Femenino,,4,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,Si,Parcialmente,No,Sí,Sí,No,Sí,No,No,No,,No,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Tecnología de Alimentos,Uso de KPI's,Mayor integración con la industria,Hablar en público,Capacidad de liderazgo para manejo de un grupo de personas,(RRA20) AGROINDUSTRIA,2025
25,Masculino,,3,2,3,2,2,3,3,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,3.0,Si,Parcialmente,No,Sí,No,Sí,No,No,Sí,No,,No,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Programación, IoT, Sistemas Embebidos, Aplicaciones web y moviles, Bases de datos, Minería de datos","IA, Servidores, Nube","Ser más prácticos que teoricos, la experiencia y práctica pesa más que la teoría en los trabajos",Comunicación social,Asertividad para poder expresar mis opiniones a otros sin tener inconvenientes,(RRA20) TECNOLOGÍAS DE LA INFORMACIÓN,2025
25,Femenino,,4,3,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,No,Sí,Sí,Sí,Sí,No,No,No,,Si,Hasta $460,,,,,"a) Sí, la he utilizado para postularme a vacantes","Gestión de residuos sólidos municipales, Gestión de Residuos peligrosos, balance de masa, seguridad y salud ocupacional","Temas relacionados a la contaminación y calidad del aire, riesgos ambientales y laborales prácticos, y seguridad industrial",Reformar la malla curricular,Gestionar proyectos más reales,Resolución de problemas y conflicto. Tratar de llevar los problemas profesionales con calma y tronar decisiones impulsivas,(RRA20) INGENIERÍA AMBIENTAL,2025
21,Masculino,,3,3,4,3,4,4,3,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,No,No,Sí,Sí,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,c) No la conozco,"Sistemas de control y hmi, control electromecánico, instrumentación",Diseño de sistemas scada,Implementar nuevas tecnologías para los laboratorios y renovarlos,Control bajo presión,Control bajo presión para arreglar maquinas en lo laboral,(RRA20) ELECTROMECÁNICA,2025
23,Masculino,,5 (Totalmente desarrollado),2,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,Habilidades blandas y Experiencia previa,"b) Sí, pero no la he utilizado","Machine learning, programación orientada a objetos",Aseguramiento de calidad de software,Informar o apoyar a los estudiantes para que consigan empleo mientras estudian,,,(RRA20) SOFTWARE,2025
27,Masculino,,3,4,3,3,2,1 (Nada desarrollado),2,,No,,,,,,,,,,,,,,,,,,,No,,No estoy seguro/a,,"b) Sí, pero no la he utilizado","Mecánica Clásica I, Mecánica Clásica II, Mecánica Cuántica, Complementos de Mecánica Cuántica, Programación Científica","Redacción de documentos técnicos/científicos, diseño de experimentos, simulación de sistemas físicos","Ármense de valor y saquen a toda la planta docente que está ahí solamente por compadrazgos, exámenes regulares de competencia y conocimiento al final de cada período",Navegación eficaz en al mercado laboral,,(RRA20) FÍSICA,2024
23,Femenino,,2,1 (Nada desarrollado),1 (Nada desarrollado),1 (Nada desarrollado),2,2,2,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,No,No,No,No,No,No,Sí,No,Sí,No,,Si,Hasta $460,,,,,c) No la conozco,"Diseño de Trabajo y Layout, Cadena de Suministro, Gestión de Sistemas Productivos","BPMs, ERP",Mejor atención psicológica y cuidar más el ambiente entre estudiantes,.,.,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025
25,Masculino,,4,4,4,4,4,4,4,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,2.0,Si,Parcialmente,Sí,No,Sí,No,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Hormigon, Aceros",tics,MAS PR{ACTICA Y SOFTWARE,LIDERAZGO,COMUNICACION EFECTIVA,(RRA20) INGENIERÍA CIVIL,2025
30,Femenino,,3,2,2,2,2,2,2,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"b) Sí, pero no la he utilizado","Seguridad, programación,  estadística",Todos,Mejoren los profesores que en verdad motiven y enseñen,"Todas, deberían trabajar el autoestima del estudiante y como se desenvuelve en la sociedad","Psicología de la personalidad, para afirmar lo que quiero y enfocarme a sacar un negocio y no ser un empleado como la epn nos enseña",(RRA20) COMPUTACIÓN,2025
25,Masculino,,4,3,4,3,3,3,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,3.0,Si,Parcialmente,Sí,Sí,No,No,No,Sí,Sí,No,,Si,De $1001 a $1500,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Sistemas celulares, sistemas inalámbricos, fundamentos de seguridad, LAN, WAN","Hacking ético, abordar temas más profundos de networking,",Abordar más temas que ayuden en la formación del campo laboral,"Liderazgo, gestión de grupos","Trabajo en equipo es algo muy importante en la vida profesional, es algo que agregaría a la formación académica",(RRA20) TELECOMUNICACIONES,2025
23,Femenino,,5 (Totalmente desarrollado),3,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,Sí,Sí,No,No,Sí,No,No,No,,Si,De $461 a $1000,,,,,c) No la conozco,"Redes, comunicaciones ópticas",Redes LAN Y WAN,Más Vinculacion de inglés en la carrera,Ninguna,Ser extrovertido,(RRA20) REDES Y TELECOMUNICACIONES,2025
26,Masculino,,5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,2.0,Si,Si,No,Sí,Sí,Sí,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Econometría, Macroeconomía, Microeconomía, Finanzas.",Mayor énfasis en lenguajes de programación como R o Python.,Incrementar el número de horas de práctica en laboratorio.,Negociación y Lenguaje no verbal,Negociación. Me ayudaría a obtener mejores condiciones laborales tanto a nivel salarial como en actividades a desarrollar.,(RRA20) ECONOMÍA,2025
33,Masculino,,4,4,4,4,4,4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Freelance / Por horas,Entre 6 meses y 1 año,1.0,Si,Parcialmente,No,No,No,No,No,No,Sí,No,,No,Hasta $460,,,,,"b) Sí, pero no la he utilizado","Econometría, Microeconomía, Macroeconomía","Ética profesional, Legislación laboral, Macroeconomía aplicada, Herramientas para análisis de datos","Más horas semanales de clase, al menos 24 horas semanales cada semestre hasta sexto semestre.",Ética profesional,"Resolución de conflictos, club de lectura. La resolución de conflictos ayudaría a solucionar trabas y cuellos de botella en ambientes laborales difíciles.",(RRA20) ECONOMÍA,2025
28,Masculino,,4,4,4,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No,,c) No la conozco,"Mecánica de materiales, Dinámica, Vibraciones, Transferencia de Calor","Hidráulica, Soldadura",Realizar mas horas de laboratorio en las materias de Ingeniería de Soldadura y Desgaste y Falla,Capacidad de resolución de problemas y trabajo en equipo multidisciplinario,Capacidad de Liderazgo en un equipo multidisciplinario,(RRA20) MECÁNICA,2025
29,Femenino,,3,3,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,Experiencia laboral,c) No la conozco,"Estadística, Econometria, finanzas, política económica, micro y macroeconómia",Análisis de datos,Se prioricen ejercicios prácticos reales,Expresión oral,Expresión oral y corporal con el fin de que se pueda comunicar el trabajo e ideas de forma segura.,(RRA20) ECONOMÍA,2025
24,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,3.0,Si,Si,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Econometria, Macroeconomía, Finanzas, Estadistica",Gestión de Riesgos Financieros,"Incorporar materias que aborden mas temas financieros y de banca, asi como hacer análisis con datos reales en programas como Python o R Studiom","Liderazgo, Gestión, Trabajo en Equipo","Comunicación asertiva, motivar a equipos",(RRA20) ECONOMÍA,2025
21,Masculino,,4,4,3,2,4,4,5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder",Comunicaciones inalámbricas,practicas con materiales reales en entornos específicamente reales,cambiar la malla,el trabajo en equipo y la comunicación en el,trabajo en equipo en entornos laborales,(RRA20) REDES Y TELECOMUNICACIONES,2025
25,Femenino,,2,1 (Nada desarrollado),2,1 (Nada desarrollado),2,1 (Nada desarrollado),1 (Nada desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,No estoy seguro/a,,"b) Sí, pero no la he utilizado",programacion y buisnes,profuncizar mas en las materias que imparten,profuncizar mas en las materias que imparten,comunicacion y expresion ante persona,hablar en publico y sabes comunicarme,(RRA20) COMPUTACIÓN,2025
23,Femenino,,4,4,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"b) Sí, pero no la he utilizado","Construcciones Civiles, Fiscalización, Costos en la Construcción, Estructuras, Alcantarillado Urbano, Hidráulica Aplicada, Agua Potable, Diseño de Vías y Pavimentos, Mecánica de Suelos y Cimentaciones, Hormigón.","Importancia en proyectos reales de Hidráulica, Agua Potable y Alcantarillado.","Que se enfoquen en problemas que suceden en la realidad para cualquier tipo de rama en la ingeniería civil y sus respectivas realidades. Se requiere un seguimiento desde semestres inferiores en la gestión de un proyecto real paso  a paso, que sea visto de manera detenida y no de manera compacta en tan poco tiempo como suelen ser la mayoría de proyectos.","El trabajo multidisciplinarios, el seguimiento de proyectos acercados a la realidad y máas visitas técnicas que nos culturice porque existen tantas cosas que no se llegan a conocer en carrera.","Muchos proyectos se hacen entre personas de la misma carrera, lo que limita la interacción con otros perfiles (geólogos, electrónicos, ambientalistas, etc.). Desconexión con aspectos humanos del trabajo profesional (empatía con colegas, usuarios, comunidades afectadas por obras, etc.). Falta de entrenamiento en análisis de casos reales, evaluación de riesgos y toma de decisiones en entornos de incertidumbre.",(RRA20) INGENIERÍA CIVIL,2025
24,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,No,,Sí,"No en lo que respecta a inserción laboral, pero sí en encontrar maestría: los conocimientos matemáticos adquiridos en la carrera de física no son suficientes para ser un candidato fuerte al postular a maestrías de física teórica.",c) No la conozco,"Mecánica Lagrangiana y Hamiltoniana, Electrodinámica, Mecánica Cuántica.",Teoría de grupos y representaciones.,Dividir la carrera en dos carreras: una en física teórica y otra en física experimental/aplicada.,No sé,No sé,(RRA20) FÍSICA,2025
26,Masculino,,4,4,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,3.0,Si,Si,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Sistemas eléctricos de distribución, calidad energética, modelación de sistemas de potencia, Estudios de Estado Estacionario, Estabilidad, Confiabilidad, control industrial",MICROPROCESADORES,"más inclusión en la vida laboral, no solo estudios",ninguna,liderazgo,(RRA20) ELECTRICIDAD,2025
22,Masculino,,4,4,5 (Totalmente desarrollado),4,4,3,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Física,Tics,Mejorar los laboratorios,Compromiso,Dedicación,(RRA20) ELECTROMECÁNICA,2025
23,Masculino,,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,No,No,No,No,No,No,No,Sí,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","Construcciones civiles, costos de la construcción, fiscalización, diseño de proyectos estructurales, diseño de proyectos hidráulicos",Diseño en hormigón pre y post tensado,"Incluir actividades fuera de las aulas orientadas al aprendizaje de nuevas metodologías de construcción, dar un mayor enfoque a la metodología BIM, lean construction, entre otras.",La comunicación efectiva,"La gestión de tiempo, que permita una mejor organización de trabajos y entregas.",(RRA20) INGENIERÍA CIVIL,2025
24,Femenino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,3.0,Si,Si,No,No,No,No,No,No,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","Econometria, Macroeconomía, Microeconomía, Programación",Curso intensivo de programación aplicado a ejemplos,Salidas de campo a instituciones públicas o privadas para relaciones laborales,Discusión,Técnicas de mediación y resolución de conflictos,(RRA20) ECONOMÍA,2025
26,Masculino,,4,3,3,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,c) No la conozco,"Balance de masa, balance de energía, química analítica, química general, química industrial","Habilidades blandas, practicas laborales",Mayor experiencia en el campo laboral,"Atención al detalle, capacidad de organización",Capacidad de organización para planificar mis actividades y evitar errores,(RRA20) INGENIERÍA QUÍMICA,2025
25,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,2.0,Si,Si,No,No,Sí,Sí,Sí,Sí,Sí,Sí,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado",Intranet,Electronica,Electrónica e redes,Seguridades  y redes,Etica,(RRA20) REDES Y TELECOMUNICACIONES,2025
28,Masculino,,4,3,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Más de 2 años,4.0,Si,Parcialmente,No,No,No,No,No,No,No,Sí,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Gestión de Proyectos,Uso de IA,.,.,.,(RRA20) ADMINISTRACIÓN DE EMPRESAS,2025
30,Masculino,,3,1 (Nada desarrollado),2,3,4,1 (Nada desarrollado),4,,Si,Ecuador,Emprendimiento propio,Tiempo completo,Más de 2 años,3.0,Si,Parcialmente,Sí,Sí,Sí,Sí,Sí,No,Sí,No,,No,De $1501 a $2.000,,,,,c) No la conozco,Procesos,Procesos,Mas incersion laboral y pasantias en empresas privadas,Comunicacion y liderazgo,Comunicacion efectiva,(RRA20) ADMINISTRACIÓN DE EMPRESAS,2025
29,Masculino,,5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,3,,Si,Ecuador,Emprendimiento propio,Tiempo completo,Más de 2 años,4.0,Si,Si,Sí,Sí,Sí,Sí,Sí,No,No,No,,Si,De $1001 a $1500,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Gestión de proyectos,"Inteligencia emocional, inteligencia artificial",Algunos profesores en los primeros semestres me hicieron pensar que querían espantar a la gente y que solo queden los más fuertes. Se podría dar otro enfoque en ciertas materias de los primeros semestres para que estudiantes se enamoren de la carrera y no traten solo de completar módulos,Comunicación efectiva y afectiva. Trabajo en grupo.,Saber comunicarme y llegar a las gente. En mi emprendimiento debo expresar estrategias y muchas veces siento que no llego de la manera que espero.,(RRA20) ADMINISTRACIÓN DE EMPRESAS,2025
33,Femenino,,4,4,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Más de 2 años,3.0,Si,Parcialmente,No,No,No,Sí,Sí,Sí,Sí,No,,Si,De $1001 a $1500,,,,,"b) Sí, pero no la he utilizado","REDES, SISTEMAS OPERATIVOS, AUDITORIA INFORMATICA","TICS, COBIT, CISCO",MAS PRACTICAS REALES,COMUNICACIÓN,"La inteligencia emocional no solo mejora el rendimiento profesional, sino también la calidad de las relaciones laborales y el bienestar personal.",(RRA20) COMPUTACIÓN,2025
26,Femenino,,4,4,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,No,No,No,No,No,No,No,Sí,,No,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","Costos, Fiscalización, Proyectos estructurales, Aplicaciones computacionales",aumentar información con temas BIM,"Considerar que si bien los docentes tienen excelentes recomendaciones como profesionales, existen alguno que no tienen vocación como profesores y ese tambien deberia ser un punto a evaluar y no solo si tienen doctorados o no.",Comunicación,Negociación,(RRA20) INGENIERÍA CIVIL,2025
29,Femenino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,No,No,Sí,No,No,No,No,No,,Si,De $461 a $1000,,,,,c) No la conozco,Ti,Tics,Todo,Todo,Todo,(RRA20) TELECOMUNICACIONES,2025
32,Masculino,,3,3,3,3,3,3,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No,,"b) Sí, pero no la he utilizado",Antenas,Software,Nada,Ninguna,Nada,(RRA20) TELECOMUNICACIONES,2025
